time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1546387200.0,22,70,50,35.8894,-17.645,210.9846000000002,-33.3516,27.1061,97,403,339,168.7996000000002,XRP,0.3709,0.3799,0.3857,0.3639,-1,3,0.2097809523809524
1546473600.0,33,40,33,20.9935,-27.6808,80.08779999999999,-48.793000000000006,7.1774,176,165,118,17.5015,XRP,0.3799,0.3607,0.3805,0.353,1,1,0.02404545454545452
1546560000.0,22,44,30,21.1508,-19.6336,94.96739999999996,-62.2188,11.334,140,190,173,22.9318,XRP,0.3607,0.3628,0.3662,0.3522,-1,1,-0.13798333333333335
1546646400.0,7,31,19,19.0036,-7.022,86.0257,-25.123,15.4926,53,140,75,57.39170000000002,XRP,0.3628,0.3569,0.3697,0.35100000000000003,1,1,0.4314
1546732800.0,23,45,27,25.0816,-17.6134,71.0363,-34.7874,16.2749,111,126,151,27.442199999999968,XRP,0.3569,0.3721,0.3784,0.3527,-1,1,0.11907142857142855
1546819200.0,12,51,25,26.7684,-11.514400000000002,170.73749999999995,-25.2198,21.036999999999992,58,310,95,139.83789999999988,XRP,0.3721,0.3671,0.3807,0.3638,1,2,0.08153750000000001
1546905600.0,22,41,40,21.6939,-19.6292,230.83930000000007,-59.3524,11.9051,155,427,156,161.6981000000001,XRP,0.3671,0.3696,0.3763,0.3607,1,2,-0.07195357142857142
1546992000.0,40,68,64,34.009199999999986,-33.655399999999986,170.85970000000015,-45.97909999999999,17.157500000000002,159,319,259,108.00489999999986,XRP,0.3696,0.3721,0.3759,0.3626,-1,1,0.010366666666666672
1547078400.0,43,95,61,50.43419999999998,-36.95440000000001,227.07040000000006,-105.3473,32.003800000000005,252,447,275,103.33949999999987,XRP,0.3721,0.3326,0.3918,0.3227,-1,1,-0.14046666666666666
1547164800.0,24,57,37,29.23480000000001,-20.815000000000005,125.07699999999993,-42.4849,18.8273,102,237,245,72.1846,XRP,0.3326,0.3316,0.3395,0.3265,1,1,0.03379000000000002
1547251200.0,18,39,20,24.3729,-18.240199999999994,141.37409999999997,-21.7729,15.2141,67,197,157,109.86189999999996,XRP,0.3316,0.3325,0.3363,0.3288,-1,0,0.0
1547337600.0,15,33,29,19.535499999999995,-12.726400000000005,54.35599999999998,-8.593900000000001,13.198099999999995,35,82,129,39.682699999999976,XRP,0.3325,0.3188,0.3372,0.3161,1,1,-0.10884285714285713
1547424000.0,19,43,30,24.6154,-21.48520000000001,98.5237,-17.875099999999996,13.8728,53,164,129,69.90599999999999,XRP,0.3188,0.3364,0.3428,0.3182,-1,2,0.12513750000000004
1547510400.0,21,93,51,51.58729999999999,-16.579000000000004,177.41330000000016,-57.277,42.5835,126,321,204,112.53139999999992,XRP,0.3364,0.3278,0.3391,0.3231,1,2,-0.007358928571428558
1547596800.0,25,110,43,62.50689999999993,-20.40719999999999,260.50610000000006,-36.8571,52.40139999999993,148,442,199,213.68470000000005,XRP,0.3278,0.3302,0.3376,0.3261,1,1,-0.26543333333333324
1547683200.0,19,48,25,29.8444,-20.396000000000004,147.2069,-45.3243,19.6464,94,220,236,91.6846,XRP,0.3302,0.3313,0.3342,0.3242,-1,2,0.136125
1547769600.0,33,48,29,29.8543,-28.507200000000005,159.16080000000005,-52.9483,15.6174,149,275,94,92.28800000000004,XRP,0.3313,0.3247,0.3318,0.3212,1,1,-0.11511428571428572
1547856000.0,19,35,24,20.377499999999994,-19.162600000000005,135.93430000000004,-39.88159999999999,10.796200000000002,105,255,95,86.4714,XRP,0.3247,0.3336,0.3442,0.3241,-1,0,0.0
1547942400.0,17,53,22,32.718900000000005,-14.3368,196.45090000000008,-33.0825,25.55050000000001,110,292,112,156.20000000000016,XRP,0.3336,0.32,0.3355,0.3145,1,2,0.15802380952380954
1548028800.0,21,57,22,32.888400000000004,-15.382799999999992,148.01010000000005,-22.467800000000004,25.159800000000004,97,242,109,117.33909999999992,XRP,0.32,0.3209,0.3246,0.3163,1,1,-0.09751
1548115200.0,14,51,20,31.4487,-10.426000000000002,155.6077999999999,-20.0106,26.2357,70,235,92,130.38419999999994,XRP,0.3209,0.3216,0.3249,0.3091,-1,2,-0.18068854166666665
1548201600.0,18,33,21,18.007699999999996,-16.366600000000002,77.08779999999999,-50.45419999999999,9.8502,114,132,94,18.5277,XRP,0.3216,0.3169,0.3229,0.3151,1,2,0.3729035714285714
1548288000.0,11,33,14,17.938999999999997,-10.031199999999998,78.47969999999998,-10.6015,12.9234,37,133,67,62.86259999999999,XRP,0.3169,0.3198,0.3226,0.3143,-1,2,0.06374166666666667
1548374400.0,9,41,25,20.3767,-9.4548,80.50969999999998,-13.6033,15.6257,35,160,99,62.10819999999997,XRP,0.3198,0.3174,0.3217,0.3134,-1,2,0.09397380952380954
1548460800.0,14,20,13,10.5269,-12.2024,27.2782,-10.855700000000002,4.425700000000001,32,52,28,10.3213,XRP,0.3174,0.3155,0.3216,0.3145,-1,2,0.05120625
1548547200.0,16,36,16,21.586600000000008,-14.5048,127.59999999999998,-16.4763,14.372900000000005,52,185,56,104.0261,XRP,0.3155,0.3082,0.3162,0.305,-1,2,-0.27616875
1548633600.0,45,84,51,41.7969,-38.94579999999999,185.61190000000008,-79.9234,22.37560000000001,224,366,197,86.43489999999994,XRP,0.3082,0.2952,0.3093,0.2838,-1,1,0.1202914893617021
1548720000.0,25,57,28,27.31480000000001,-24.39820000000001,171.74519999999995,-83.6958,15.074099999999996,177,368,95,75.60070000000002,XRP,0.2952,0.2892,0.2967,0.2836,1,1,0.20975
1548806400.0,39,86,69,46.799599999999984,-32.52050000000001,242.89639999999986,-65.4856,29.045299999999994,164,413,282,162.50869999999986,XRP,0.2892,0.3235,0.3283,0.2863,-1,2,0.1240375
1548892800.0,43,99,59,47.872799999999984,-33.52280000000001,205.0266,-48.39739999999998,30.3745,159,418,194,140.4115,XRP,0.3235,0.3122,0.3381,0.3057,-1,2,0.17814583333333334
1548979200.0,26,49,35,28.7563,-18.5132,101.61870000000002,-30.555,19.4997,122,194,229,61.80709999999997,XRP,0.3122,0.3086,0.3139,0.2978,1,1,0.11598
1549065600.0,8,27,24,13.6126,-6.862200000000002,50.5539,-23.537300000000005,10.207299999999998,45,94,84,23.7403,XRP,0.3086,0.3115,0.3145,0.3053,-1,2,0.23216111111111115
1549152000.0,11,26,28,15.5477,-8.784199999999998,62.27009999999999,-16.3668,10.949699999999998,63,91,101,41.79449999999999,XRP,0.3115,0.3028,0.3135,0.2982,-1,3,0.1731404232804233
1549238400.0,18,37,31,20.9504,-11.4774,79.95080000000003,-22.114,15.211699999999995,87,140,94,52.09810000000001,XRP,0.3028,0.2986,0.3061,0.2973,1,1,0.03797777777777779
1549324800.0,18,47,32,24.869799999999994,-18.890800000000013,106.38799999999992,-69.49210000000001,15.459099999999998,119,188,139,27.742799999999992,XRP,0.2986,0.2996,0.3027,0.2961,-1,2,-0.02668571428571424
1549411200.0,24,38,37,20.2175,-19.4657,119.0315,-37.9448,10.079100000000002,100,210,211,71.7594,XRP,0.2996,0.289,0.3007,0.2878,1,1,-0.1995625
1549497600.0,16,42,25,24.2032,-13.947799999999996,111.57649999999997,-25.681600000000003,17.255100000000002,78,211,84,78.92100000000002,XRP,0.289,0.2909,0.2936,0.2884,1,4,0.2444669696969697
1549584000.0,25,52,43,28.335500000000003,-24.5937,98.4145,-75.44180000000001,15.552500000000006,163,177,150,11.161999999999995,XRP,0.2909,0.3127,0.3216,0.2897,-1,2,0.270274025974026
1549670400.0,19,41,28,21.231600000000004,-17.4414,57.8457,-77.29440000000002,12.541099999999998,170,122,91,-28.362400000000022,XRP,0.3127,0.3123,0.3163,0.3075,-1,2,0.2870032608695653
1549756800.0,24,33,25,17.032999999999998,-19.454400000000007,73.45679999999997,-20.4564,7.3231,72,136,88,43.39429999999995,XRP,0.3123,0.3098,0.3125,0.2995,-1,1,0.2124625
1549843200.0,34,60,36,32.243599999999994,-34.6435,119.47929999999992,-40.6139,14.758199999999993,104,200,111,61.73650000000003,XRP,0.3098,0.3023,0.3106,0.3017,1,2,0.3714263888888889
1549929600.0,32,51,28,28.455299999999994,-30.646799999999992,88.77439999999994,-39.1914,13.1319,116,150,70,34.2596,XRP,0.3023,0.3055,0.3085,0.2975,-1,1,-0.14745999999999998
1550016000.0,17,44,42,23.3354,-14.5188,93.32119999999992,-27.4229,16.0588,72,166,141,58.55290000000001,XRP,0.3055,0.305,0.3137,0.3011,-1,1,0.010790909090909113
1550102400.0,37,69,23,42.213800000000006,-37.96570000000001,162.7631,-51.86599999999999,22.796600000000005,128,254,75,92.34859999999996,XRP,0.305,0.3015,0.3064,0.301,1,3,0.12143714285714287
1550188800.0,19,31,29,19.3274,-19.4848,85.9522,-44.31600000000002,9.585000000000004,101,127,91,31.893799999999967,XRP,0.3015,0.3023,0.3067,0.2988,-1,2,0.04239874999999999
1550275200.0,11,37,15,20.499900000000004,-10.980399999999998,96.07399999999996,-27.1954,15.035500000000004,66,175,107,63.64639999999997,XRP,0.3023,0.3019,0.3049,0.3008,1,1,0.10817499999999998
1550361600.0,9,44,21,24.82380000000001,-7.7982,86.56569999999996,-1.3352,20.842600000000004,20,136,59,81.06759999999993,XRP,0.3019,0.3048,0.3092,0.299,1,1,-0.0016857142857142995
1550448000.0,35,71,43,40.850300000000026,-32.02500000000001,192.16490000000005,-90.5879,24.5182,191,305,182,86.05529999999996,XRP,0.3048,0.3238,0.3323,0.3035,1,2,0.4346041666666667
1550534400.0,27,52,42,28.2853,-22.89520000000001,119.56929999999994,-23.135100000000005,16.811899999999998,86,210,176,84.88339999999997,XRP,0.3238,0.3254,0.3498,0.3218,1,2,0.3061528409090909
1550620800.0,19,26,29,14.9311,-13.5837,87.5979,-20.5415,7.775199999999997,81,151,114,60.5512,XRP,0.3254,0.33299999999999996,0.3369,0.3209,-1,1,0.26291666666666663
1550707200.0,40,85,52,47.116200000000006,-33.3141,290.2208,-38.5605,29.72430000000001,158,511,226,235.88130000000007,XRP,0.33299999999999996,0.322,0.335,0.3187,1,3,0.09395833333333332
1550793600.0,14,36,14,18.7085,-14.426200000000005,81.58000000000007,-15.5647,11.4954,44,153,42,58.80219999999999,XRP,0.322,0.3249,0.327,0.3174,1,1,0.3171909090909091
1550880000.0,23,49,32,25.758400000000005,-18.0814,85.22089999999993,-23.7531,16.717699999999994,94,166,119,52.42709999999998,XRP,0.3249,0.3362,0.3381,0.3204,-1,1,0.18594
1550966400.0,28,53,28,27.796699999999994,-24.47459999999999,105.10469999999998,-35.03399999999999,15.6084,125,204,126,57.9056,XRP,0.3362,0.3005,0.3468,0.2983,1,1,-0.22829
1551052800.0,53,105,77,60.6683,-50.0624,276.98490000000004,-103.38830000000002,35.66739999999998,262,465,334,148.4978000000001,XRP,0.3005,0.3307,0.3428,0.3,-1,3,0.06040462962962965
1551139200.0,41,82,71,43.16939999999998,-34.020900000000005,232.19750000000008,-49.43660000000001,25.608,177,429,327,166.49480000000008,XRP,0.3307,0.3197,0.3375,0.3166,-1,3,0.11174904761904762
1551225600.0,19,45,25,23.2538,-19.8768,109.059,-51.2578,13.289599999999998,105,212,91,47.759600000000006,XRP,0.3197,0.3136,0.3217,0.3024,1,1,-0.046624999999999986
1551312000.0,39,60,53,34.152599999999985,-34.71189999999999,154.50560000000004,-83.0485,16.414999999999996,201,249,201,55.03160000000002,XRP,0.3136,0.3166,0.321,0.3105,1,3,0.003092121212121204
1551398400.0,36,61,61,30.2271,-31.22620000000001,131.09319999999994,-41.9617,14.6656,129,242,205,73.62160000000002,XRP,0.3166,0.3172,0.3263,0.3137,-1,2,-0.3430642857142857
1551484800.0,14,38,25,22.120999999999995,-13.856799999999994,139.5155,-26.817100000000003,15.100500000000006,59,237,81,105.57729999999997,XRP,0.3172,0.3163,0.3192,0.3119,-1,1,-0.26761
1551571200.0,9,15,29,7.0124,-7.991000000000001,37.46590000000001,-17.857000000000006,2.9653,43,68,132,14.813600000000005,XRP,0.3163,0.3129,0.318,0.3104,-1,2,0.12104814814814815
1551657600.0,38,52,52,24.3679,-34.88170000000001,127.17999999999998,-106.6587,6.6341,246,235,184,3.3733999999999824,XRP,0.3129,0.3043,0.3143,0.3005,1,3,0.16851075498575505
1551744000.0,40,62,61,28.05180000000001,-36.6946,172.4593,-65.6704,9.7031,187,329,286,88.72709999999994,XRP,0.3043,0.3171,0.32,0.303,1,0,0.0
1551830400.0,22,49,36,26.82360000000001,-18.9228,144.81539999999995,-45.49610000000001,16.989200000000004,114,269,139,90.13029999999992,XRP,0.3171,0.3188,0.3229,0.312,-1,1,0.1847333333333333
