time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label
1567296000,22,25,22,11.904099999999998,-10.3475,1.5566,60,113,103,59.5688,-33.20869999999999,26.360100000000006,LTC,64.42,66.05,67.37,63.79,1
1567382400,59,97,80,49.993099999999984,-30.5964,19.4354,240,435,331,238.3288,-114.82000000000002,123.50879999999991,LTC,66.12,67.22,70.63,66.8,1
1567468800,55,90,101,44.36369999999999,-26.207899999999995,18.1838,185,363,461,188.5121000000001,-84.46630000000002,104.18139999999985,LTC,67.22,69.07,70.82,68.27,-1
1567555200,89,141,118,75.99659999999996,-42.4909,33.50569999999999,381,520,457,281.32380000000006,-192.67179999999988,88.65199999999996,LTC,69.07,67.18,69.31,66.67,-1
1567641600,54,104,82,54.239,-25.174,29.194000000000003,176,476,420,233.53549999999984,-76.52919999999997,157.41909999999984,LTC,67.18,65.15,67.43,64.35,-1
1567728000,54,109,78,50.80329999999999,-23.4363,27.41860000000001,216,445,313,220.4705000000001,-83.56110000000002,137.06420000000006,LTC,65.15,64.88,65.36,63.38,1
1567814400,68,113,83,61.390999999999984,-30.3325,31.1101,325,502,432,282.57780000000014,-152.1335,131.16669999999993,LTC,64.89,69.1,71.58,67.74,1
1567900800,55,72,60,34.8402,-22.8631,11.977100000000002,325,281,220,145.06749999999985,-145.19269999999992,-0.12519999999999232,LTC,69.1,70.67,71.47,69.65,-1
1567987200,46,78,78,36.5772,-19.790899999999993,16.64070000000001,195,288,312,135.9225,-84.30639999999995,51.31570000000001,LTC,70.62,69.96,71.23,68.54,1
1568073600,87,156,147,73.70369999999996,-38.460099999999976,35.22479999999999,336,721,477,362.65189999999967,-160.41329999999988,202.16340000000008,LTC,69.96,70.85,71.6,68.53,-1
1568160000,20,80,65,42.1856,-7.881000000000001,34.3046,85,269,256,137.94959999999998,-28.43470000000001,109.51489999999994,LTC,70.85,69.94,71.94,69.15,-1
1568246400,38,73,52,39.9956,-18.8724,21.1232,120,328,189,188.9953,-67.3022,121.69309999999996,LTC,69.94,69.22,71.88,69.1,-1
